image_path,x_min,y_min,x_max,y_max
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\6f5c96c3-5e389a84-fed578fb-59a1ec6b-f6940c5d.jpg,79,12,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\17e45625-eaadb218-2d24539e-64af45b5-c636d3b5.jpg,8,0,1736,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\c8913af9-734e331d-173b2e64-3bd029ab-fb2771ae.jpg,0,0,2527,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\22f5e1dc-551efefe-dbe4812a-9d758850-67435eeb.jpg,0,0,1736,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\823d7fc1-3f5ea81f-5182d006-b4df4c9f-d3c393da.jpg,0,0,2021,1748
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\01b6f404-c5323555-e01600a7-1bfb6d90-b530f1ae.jpg,122,279,2519,2799
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\5229883a-587a53ec-7f046fa4-14a0bd02-cdcc23c8.jpg,0,242,2483,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\719e0eaf-aae1282a-6cbebb82-05256e2a-044e039d.jpg,0,0,3056,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\a5daf1b8-0042e35d-e88a6176-8b8feea9-c0762560.jpg,0,31,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\9870d11d-3a0d9c78-f49f71c6-58644dd5-ce1b85fb.jpg,0,0,1736,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\4b8a538c-a4d007bd-6dfba7bb-6e9828d1-ae32643a.jpg,306,34,2345,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\0f257273-0fa8c76f-737b4a98-eedda2aa-44d82e39.jpg,0,0,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\15d33e61-a551a954-b7fb9a09-a98cc3c6-6fc45aa7.jpg,0,23,3056,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\bcd0e966-7a839fa2-0d8757a5-0e5bb0ac-5bdaed5b.jpg,0,0,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\2fc7b60f-590e344c-51116ad2-b9bf23c8-16b97f07.jpg,87,0,2531,3015
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\7d564430-94acc35d-219576db-376dbf50-88539ad5.jpg,113,51,2515,3035
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\566c1b1e-64dcf8e6-d43687f8-5d934782-c25d4807.jpg,71,7,3056,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\15904dd6-d69a38d5-b9e42d55-9d8d27b3-7430c28f.jpg,27,27,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\77d138f1-93e6f7ca-0ac3b3ad-8e650783-f31b4f4c.jpg,201,0,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\30a43dbc-7035b591-e14d5eb0-509986ea-a07f89ad.jpg,0,0,1721,2021
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\d4fa68f0-e24b0108-e22f5776-085a8dee-c4640b5f.jpg,0,11,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\030615a2-4d334013-2ec1103d-826ffca5-8efbf1ce.jpg,36,81,3056,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\799755d9-91081781-fb5ab337-f3eb55ae-3c1571cf.jpg,0,121,2022,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\b20d4ebd-ffea65eb-28b944c8-98a611b6-cf0154ba.jpg,0,0,3056,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\7b97dc2e-89d5c64a-6d110682-ee19a324-0ec6c444.jpg,0,0,1841,2021
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\57dc4dcf-23a36525-9e4e04f1-17eb8db0-c1ac89ed.jpg,0,0,2544,2412
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\346c9ec2-2cb90367-0b77c506-6de2d068-9c0493eb.jpg,23,55,3056,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\d83da295-24e6156d-b46aa54f-c62f1e4b-b3a9c3c5.jpg,0,0,2021,1764
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\2e7ea06b-b9bbdca6-04a42bbd-b14ba096-f6e786d5.jpg,0,0,1736,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\9e5b0001-b8bb31f1-62529715-a03949d5-38d4dcc6.jpg,219,40,1982,1981
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\2b92b75e-57322c4e-ffea2f8f-d571e5a3-f90cac62.jpg,0,0,1736,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\c5fee532-f67f7871-ea4c6c86-d83801a7-f1b99b5e.jpg,0,39,3039,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\522459a3-45d970a7-148cf66c-42d5bb93-f2f57a9d.jpg,0,135,2544,2955
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\cf910b15-56be2eb9-80ab6ac7-a24d9bbe-fece7237.jpg,0,55,2544,3007
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\fe18c8cb-d5ea136f-0d5cc31c-119ae44d-3c549788.jpg,19,0,2527,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\f95a0fee-bcc4a283-e0cbc225-6ff29b07-072b1e2d.jpg,0,0,3051,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\86b7ad8d-00c5a31e-a52e88e0-daea5f6d-7fc44def.jpg,0,61,2544,2799
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\4409193c-71aeae59-5e6d7878-c7f8001e-c3f138ed.jpg,15,0,2519,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\7e8a07c1-1d82155a-671fd1e5-447643d5-31ad3c5c.jpg,0,27,2471,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\0b4d8e09-e38c88b5-47e02ab3-877ecda8-faa8adbf.jpg,37,0,3049,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\09519df7-5af0b15e-9ae915d4-c8201379-cbe22f51.jpg,31,0,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\3d47b881-10c7868a-557527b4-ff9e65b3-15a51bfd.jpg,0,7,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\8e671490-624fc268-d814da96-28245b54-ce8a9ef9.jpg,203,64,2392,2997
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\754ddba1-2ea58fb8-261bcd33-7e8d1b0d-6b34f5b3.jpg,0,0,2021,2021
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\9d2a13e5-70496b48-52d6eb1f-635152ba-208afa6a.jpg,0,0,1736,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\9d218818-9638787a-1ac875bd-895dfbc3-994120b8.jpg,0,0,1736,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\13c6cc82-670e824e-a62fe2f3-5b8425aa-2f3b8cd5.jpg,0,0,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\dd2ea39f-91a4f437-bddae252-7e924448-dc6c3138.jpg,0,0,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\602d5e3a-0c75af4f-3f787bb7-53470d73-1bbde18c.jpg,0,0,2021,2021
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\d12e2f5d-ba3730de-010cb125-73cdd2c6-16999ed1.jpg,0,39,2544,2999
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\05342a11-785782d7-bbd996d8-a9f93692-940d13f1.jpg,0,0,2801,2323
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\9762ee25-6cc59c9b-05681d65-0cfa70bf-5a71d39e.jpg,26,0,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\57fbf0c1-ee2f6452-f9adb838-fe0f7ef4-df0f46d7.jpg,0,0,2021,2021
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\877af3ad-9d61ed5d-2ea4b7be-50796915-d7248eb1.jpg,0,31,2527,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\269854b3-0245483c-eb3f75ab-8d9bdd7d-b5db7f86.jpg,55,31,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\870ec1af-992f059d-7c0e9041-5a125a42-9c98be8e.jpg,6,0,1750,1890
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\b49e83d0-fd960418-4e70e02f-a1d20b09-343eb43b.jpg,0,0,1736,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\0ac8c62a-63342bca-41969fba-b11f6bfd-191c9c29.jpg,150,66,2526,2836
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\7eae337d-49956d28-de8601c2-e26cb915-308b3f2a.jpg,0,0,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\3fb0a424-cab3714c-23dd17fc-ea52ee40-4a7bedf9.jpg,3,0,2511,2646
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\763bb5a2-5579bb51-caea7696-0a5d2190-779eb6b6.jpg,15,19,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\60e4469d-4a7d0847-62f1f56d-e5606855-b7bc282e.jpg,0,29,2523,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\b0b2e7ff-ca4c9c7c-166f5937-1a080886-a0d15158.jpg,0,87,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\18bfd914-48d26154-31d7cfb1-9f5d0a0a-5b67d600.jpg,0,0,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\18201c39-713fe615-bbe4349f-a82d6e5b-2ef84729.jpg,0,0,1890,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\e9073fc8-b6e8da6a-fb333be3-db7dd7cf-2c8fcb5a.jpg,0,35,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\3d5caaee-253539da-4971f466-776b46c3-386353a9.jpg,0,74,1757,2021
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\83d49fce-448c13e0-93c23c8c-09a1f9fb-2143bb73.jpg,0,0,1946,1850
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\b29d9bb7-09e24bf8-700048dc-ab6ce845-dd9fc15d.jpg,8,107,2544,2839
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\3aad968c-dd228fa1-8ffc4011-d9d97fad-d7bc68c9.jpg,0,15,3011,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\3c010415-36d570d7-e1546f89-8883fb51-8352ce41.jpg,3,0,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\744042c2-451bd88f-2ee4e6d9-21320458-c5176ffc.jpg,0,0,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\121da9e6-50fb2afe-c8c1886c-e151708f-e167a824.jpg,0,292,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\bc6870dc-42cbaf41-98f1c9aa-4f361635-55b19457.jpg,0,39,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\5e6a8054-20007caf-6b09b327-f1f748e2-0010722c.jpg,0,0,2021,2021
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\6267757a-4f25800e-5d421bd1-f3f76161-a0c516e9.jpg,27,7,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\0cab60d5-4f82364d-bc16b9ab-c680c111-793ab913.jpg,0,0,1860,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\5280e145-7f1318ae-a1ad03c7-32c69d4d-54edc93b.jpg,0,0,2544,3019
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\03d74ba8-bd602bc6-64f52108-068c7974-24c04a3b.jpg,0,0,1761,2021
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\35556294-ae6827ae-01aeae85-6c2e27b5-75179512.jpg,27,11,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\aedefe23-5db3935a-84595ec2-27a78360-d2381f9b.jpg,69,0,1976,2021
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\b9f03551-0ce2937d-250d3b6d-d831404a-0ebf4b75.jpg,0,0,2022,1736
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\daf1d73b-5d970006-61211efe-e08cb8e5-e3fce13d.jpg,10,0,1900,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\f754570b-14a24ba5-5e90bf53-5205a163-24ecb335.jpg,15,15,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\540d09b3-3a93180e-d4062e9a-05c450da-f1b28a8e.jpg,0,0,2515,2747
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\d3dd6db9-f08d1b82-0e289881-a87d1ce2-0205023f.jpg,71,47,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\d5d46d89-afbe7af7-f6661cac-a62bb93c-a96f4dc7.jpg,0,47,3056,2527
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\7b121701-6a09e8a7-c64a9ce4-c47d3c8e-ec9240b8.jpg,0,0,2021,2021
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\6aa667c9-9e1c9fa0-3951c157-f3ab3184-cf9b73dd.jpg,19,0,2544,3047
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\bb7920e2-6c70b212-0f6a26df-52d9cffc-50ae3a8b.jpg,15,0,2523,2877
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\341cca6f-f54d8912-4c33440c-c1de4521-3c6d779f.jpg,39,0,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\0ef53e6e-85e220b1-21a779a0-0312264a-1ec044be.jpg,0,0,1767,2021
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\03aedf83-23ba2af7-c02906c0-7b9bcab2-0268d609.jpg,0,0,1767,2021
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\22bcd140-6d49a03b-898a47c8-fef7b668-78d8d949.jpg,32,0,2959,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\b035c03b-2153ea97-29b6b816-710de4f3-0e7911f8.jpg,0,51,2483,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\971ae92f-5759cdb1-7fbdc863-9ae4fe42-87544ab6.jpg,0,0,1736,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\64750700-6031ad0e-cc9960fa-c011eb77-886eb1fb.jpg,77,157,1919,2021
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\04b6b30b-8f20840b-489994d2-e8a06c41-73b526a2.jpg,189,33,2884,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\f7254b7d-1a32be23-2b58d468-1d80dc7e-736286d4.jpg,0,0,1960,2021
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\40c89a8d-d6ff412d-a84112eb-68a6689e-602316a7.jpg,0,0,2022,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\a0342f82-e78d3046-0c9ac268-4f1c15eb-fca2ac32.jpg,10,504,2535,2621
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\52c36bf4-16108771-093afc9b-0e53ebf4-a9455c1d.jpg,55,0,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\a62ad3fe-764dac87-00c4acf7-12363bb8-65d48798.jpg,11,0,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\46467e3d-78fa1d71-08d0c89b-86e0b17e-8f35e0ea.jpg,0,39,2544,3055
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\02bc7f05-b1b7ce5f-9f13567c-d2b330f8-44a39411.jpg,5,0,2022,1736
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\66ffca15-3d41ef5f-80c49da5-1251c4ed-dbd5e65c.jpg,0,39,3056,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\3bf2cd43-a402e4ce-fbd27e6e-2e29c477-e256caa6.jpg,88,39,3056,2535
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\2d9ebdc5-7d8a24dc-0acdc3fb-da979f60-d5306a84.jpg,39,88,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\ac0162b1-8aad7e51-74f0ac4a-cd7265eb-fb3850d5.jpg,67,0,3056,2523
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\98d43164-6650a8b0-5131e332-e5fa03e2-31f89903.jpg,0,27,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\f2efa74f-130a021a-c41cde3f-cd14703b-f5d8d653.jpg,55,443,2528,3055
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\1eb76ed2-6c8e4206-bdaac2d8-02cbb979-c9d173e8.jpg,35,19,2519,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\641d7844-74ec2130-2c02e9bc-165e86e7-576aba16.jpg,15,0,2543,3007
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\c06c2deb-6e1ff336-5592d2d8-98550985-a18b1cd7.jpg,0,0,2022,1736
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\45156892-eb7f4d62-78d591b7-7bdb1c99-7d13a37a.jpg,0,0,1580,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\de1a65d9-382213d2-95ba61f0-d98dca5e-f5e32d59.jpg,233,123,1938,1979
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\45cbc5f3-314aa6ef-46dd5508-f9a9a3a3-9880373b.jpg,55,55,2544,3027
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\2db47ace-daead920-8425e37e-041171e1-2604dcca.jpg,0,23,3056,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\2c466a34-8db99db4-27bcd765-38a47cbd-3a16cc3e.jpg,19,0,2527,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\3767d323-01574cd7-d96b5c0f-2d672f8a-f64802cc.jpg,0,0,3056,2544
